"Government revenue, percent of GDP (% of GDP)",Country code,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Saint Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.58151319,25.60102832,24.57016892,24.79537641,25.43401825,25.72506445,25.38640866,25.75510903,22.61996658,21.30594597,23.07914231,21.35404668,22.75775668,23.58592486,23.57824108,23.52233493,22.96758937,22.80159319,23.71214257,23.47548932,22.14402499,22.40249023,22.9508703,24.05155476,27.02586267,28.17093941,27.35756273,25.87566675,24.54003624,23.63833313,27.59757773,25.58218055,27.09578713,25.08526776,24.64272644,25.70681855,26.98371348,29.9899903,27.23866117,26.98566575,26.24210646
Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.66454823,33.04414729,28.40466379,25.4824882,27.29039024,30.09554167,33.09236999,25.65547529,24.32346864,36.31727878,33.03322004,29.95687897,34.31449475,40.81199158,46.1377399,48.09191132,41.23651951,56.48158741,31.68230258,37.40321975,43.7821991,44.20808,39.92984092,35.23725347,23.56238074,20.09630929,22.35814986,27.23952314,27.80538615,27.16571228,26.20057184,27.51300129,26.52970922,27.08017692
Senegal,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.80149984,16.84770079,16.29910413,15.03783592,14.39583762,14.00852035,14.76345794,14.27098026,15.70578689,16.55377732,18.32932642,18.40598989,17.61836869,19.37413703,17.40748806,17.45576823,17.76102716,18.32699152,18.78700843,17.75485545,19.20359149,19.2835082,20.69098749,19.49499007,18.88966436,20.33740888,19.99731673,19.91921277,20.08366891,20.72978046,20.13348997
Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.79806627,44.44340418,48.1865715,47.94952681,52.4752007,58.55978276,59.9302731,57.97366682,55.25478511,57.15379074,56.73061574,56.70082134,50.51609438,49.41804656,48.83941193,44.02773873,45.86194153,40.6688868,37.9155258,40.05502825,48.02401925,40.3329318,39.40160656,41.01326332,31.96702477,34.87056306,36.95610658,35.09739847,39.76425074,41.49098029,38.16070191,36.25388673,32.90922938,34.49038574,32.58137772,32.21895598,32.16671787,30.96567346,33.07243023,30.54107161,31.71950298,33.07867914
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.41326556,43.12907619,42.32130651,40.82184828,41.15369292,40.54881133,38.49559715,37.64092273,37.76849758,36.04742928,36.2780179,34.61161689,33.66777144,33.94392371,35.05133073,33.60343739,36.42875691,35.67393442,38.2392384,38.7279379,41.34445271,38.30566909,38.79894492,38.64408995,39.44372993,39.20373704,39.8084045,41.85075866,42.83812098,41.84237379
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8231932,44.02647147,43.03928144,43.96350744,44.14323533,44.03824492,44.5805632,45.31681033,44.91395515,44.93324435,45.27307763,44.44724935,43.40997627,43.73789482,44.12801456,45.16765231,44.72489411,45.80977136,46.4980453,46.02947608,46.65726258,44.91017964,44.66434411,44.95495178,44.46315658,44.12061097,45.27332969,44.6627732,43.84683841,45.53376615
Solomon Islands,SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4392638,20.55180339,18.35921232,15.74116837,15.74230382,12.30132621,25.45210589,31.69110026,30.39912329,32.87914638,39.01505764,28.89081063,27.17717258,29.96000739,33.26247994,33.99624763,45.35477499,41.96883547,42.26636146,36.05032489,38.11133417,36.30354061,34.0818769,37.9463709,35.90549369,38.25650423,36.32861312,32.72237811
South Africa,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76099968,10.89109993,12.89900017,12.82800007,12.31999969,12.69229984,13.0177002,13.01070023,14.78610039,15.53530025,12.91409969,12.86550045,12.70020008,13.08110046,13.27589989,13.17800045,12.48750019,13.57530022,14.60760021,15.57940006,17.81539917,16.47249985,15.02910042,14.62839985,13.78380013,13.29380035,14.79819965,17.38599968,18.94169998,19.93530083,21.13459969,20.7133007,21.05610085,20.96520042,20.88299942,18.21450043,16.96190071,16.91640091,18.01589966,17.37229919,17.47999954,16.12969971,15.68050003,14.95129967,15.06359959,15.25889969,13.88239956,14.28859997,12.46210003,14.54269981,13.64159966,10.08100033,15.06499958,15.21689987,15.00059986,16.06539917,14.87320042,16.86050034,17.94569969,17.53120041,16.50239944,17.5583992,18.6243,18.84539986,21.80220032,21.39220047,21.82909966,19.92670059,19.54470062,19.88800049,19.81979942,19.98480034,21.94389915,22.08909988,21.64369965,20.56170082,21.29719925,24.87779999,22.95319939,22.72820091,20.55699921,23.23069954,22.80610085,23.95000076,23.77029991,24.51429939,24.45669937,21.26366869,21.60470476,21.25516416,21.03067459,21.66374141,25.03886075,25.47990486,25.64387106,25.52059204,23.79009339,23.82631903,24.37524605,24.57920897,25.00588786,25.39472525,25.79009721,26.1835742,25.84412531,26.42002542,26.32170828,24.99435925,27.11366642,27.63910386,26.91108509,27.19039873
Spain,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.761050224,7.481579781,7.727479935,6.817739964,6.840330124,6.709040165,8.199359894,9.212229729,8.961190224,9.619850159,9.733180046,9.382189751,8.554530144,8.9500103,13.39420033,9.912679672,8.807979584,11.0309,13.18039989,11.5614996,11.8760004,8.549139977,7.204140186,8.522580147,10.01159954,9.089730263,15.34619999,10.60330009,11.52260017,8.91217041,8.656089783,11.85490036,8.521699905,8.349740028,8.695650101,8.564909935,9.106650352,9.00399971,8.002980232,7.990119934,8.84815979,8.644029617,8.336130142,9.341609955,9.465649605,9.43791008,10.61530018,9.528619766,9.916410446,10.88700008,9.563269615,9.465970039,9.825369835,9.297949791,8.820280075,9.190329552,9.554690361,9.114319801,9.028530121,8.720930099,10.03680038,9.366829872,9.313920021,11.19009972,9.955010414,12.91429996,10.26319981,12.07460022,8.082169533,12.1097002,9.714189529,16.31640053,11.03829956,13.34179974,12.70569992,10.62969971,11.27369976,9.879050255,12.57719994,12.31610012,10.85470009,10.93239975,13.25010014,14.21479988,12.74050045,12.3732996,,,,,16.10770035,15.37930012,13.27600002,18.11359978,15.7883997,17.18180084,11.55669975,12.83360004,9.916790009,10.93449974,11.23330021,8.458410263,9.8956604,9.483099937,9.483329773,9.545869827,9.072779655,9.195630074,11.14340019,11.03199959,11.70639992,11.87699986,11.83479977,11.82929993,12.90270042,13.99250031,11.81949997,12.16049957,12.26259995,12.20619965,12.3427,13.00139999,12.73579979,10.97939968,11.52060032,11.63000011,11.9204998,12.59189987,12.70170021,12.82149982,13.78709984,15.25220013,15.71490002,21.18790054,21.79820061,21.58230019,23.21529961,27.62829971,25.6928997,28.85029984,29.3567009,27.90369987,31.0163002,35.05720139,27.59980011,37.25650024,37.72040176,37.63769913,38.06560135,38.69400024,38.23880005,38.11410141,38.67210007,38.04000092,38.76139832,39.70149994,40.71889877,41.13420105,36.96419907,35.08779907,36.27999878,36.24718113,37.74185203,38.67071872,38.98324172,38.4179367,37.8742207,37.95110186,38.94657652,38.96722528,41.40685468,42.83441011,41.72617477,41.94814794,42.1907008
Sri Lanka,LKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.96406483,18.44944399,18.07686895,17.40199004,16.69633235,17.65394312,16.2046536,15.69504207,14.5876548,14.92595517,13.95440836,13.92596161,13.89708067,13.19221577,12.9435199,14.21220752,14.60969811,14.06742787,13.15640535,12.68437864,12.58269835,13.12220704,11.87559522,11.60455567,11.17944984,12.62984042,13.21751687,12.78599578,12.58772348,11.9339529,8.777226087,8.311265849,8.363778066,11.2120569,13.68227517
Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75751928,19.22284314,25.90366546,15.64350826,16.5191189,9.39797939,6.694605984,6.790077685,7.228460318,7.596293643,9.663566838,9.099429927,9.85535263,13.31187113,16.66772573,17.87398906,17.50023529,16.74134667,20.20330594,14.95901804,17.46166722,15.90605306,9.113179651,9.562768479,8.791961475,8.509042881,6.057881293,6.743008539,8.910511023,7.904164856,4.863944614,9.548433004,15.72733491,4.529778774,2.93112133
Suriname,SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.62790282,16.84026354,17.97647833,16.47716179,17.86399808,21.40963663,24.80998667,20.78749805,23.95553223,14.69569144,16.60430848,25.32723729,18.90310511,19.06314931,19.61043531,18.81477023,22.80122894,27.59600313,22.89285515,26.0493303,20.87308585,23.36764552,24.6839241,23.53751883,22.50659269,21.58964437,17.72277167,20.11989762,20.90257966,20.27697708,18.24921709,26.361082,26.84791823,27.34786197,26.78140912
Sweden,SWE,5.902362347,5.458593845,7.457575798,18.73984337,7.896825314,8.175000191,7.604895115,6.874509811,10.60177517,4.919780254,6.56769228,6.524651051,8.48267746,12.64542007,11.9319849,7.541367054,5.856338024,5.615517139,6.040410995,5.97176075,5.615841389,5.831119061,6.032740116,5.894463539,5.907241344,5.813158035,6.368888855,5.683183193,5.667192459,6.774921417,6.389361858,6.278161049,5.967409611,5.990368366,5.879775047,5.812064171,6.020472527,6.289974213,6.388520241,5.76052618,5.709002495,5.801927567,5.5305686,5.372169971,4.958056927,5.482269287,5.503719807,5.226415157,5.22822094,5.461806774,5.095418453,5.390485287,5.176245213,5.125999928,4.868006229,4.753889561,4.805236816,4.330814838,4.283527851,4.41315794,4.488958359,4.809254646,4.78683567,5.033988476,5.144547462,5.29073,4.979156971,4.728683949,4.710011482,4.533700466,5.53676033,5.946739197,5.473287582,5.445180893,5.700701237,5.781470776,5.840687275,5.881843567,6.219029427,5.767647266,6.298852444,6.456756592,6.371836185,6.293653011,6.519275188,6.517681122,6.658385277,6.509952068,7.173094749,7.058844566,7.17876482,6.546934605,6.276208878,6.582900047,7.559765816,7.506234646,7.28403759,7.509498119,7.269341946,7.189828873,6.911176205,6.613075733,6.878360748,8.023003578,8.013124466,8.213936806,7.120963573,7.165495396,6.845706463,7.321258545,7.678315639,7.449184418,6.620467186,6.511557579,6.393447876,8.374931335,7.562035561,9.719450951,9.589694023,8.085902214,7.029675007,8.429513931,8.384878159,3.670235634,8.586812019,8.04270649,8.133221626,8.305826187,8.44271946,8.298391342,8.819146156,9.563205719,9.668924332,9.545812607,9.256576538,9.911592484,10.27943611,10.83398056,11.71016598,12.00837803,14.56852818,14.39214897,14.59317207,16.07576752,17.74839783,18.00197792,17.13045692,15.56319237,17.47508621,18.74439812,16.64066315,16.13068962,19.01381302,19.38566208,19.97914886,19.48338127,20.34578896,20.15231705,21.73069954,21.74885368,21.75965118,24.25789642,24.07751083,24.76295662,23.28708458,24.42399406,26.14746857,26.32390594,25.97202682,26.68533325,26.87671661,28.16455841,29.77146721,27.78719902,25.94719505,26.51443863,31.07371902,32.33634186,31.77892303,29.92370987,29.54071808,33.25704956,32.946064,33.46258926,34.63715363,37.68324661,35.92457962,38.91567993,37.26635742,37.30063248,37.60848236,36.86536026,37.0301857,58.77,58.4,56.06,57.88,57.19,57.26,56.66,56.19,53.93,52.21,52.57,52.66,54.1,53.19,52.62,51.93,51.54,50.34,48.69225659,49.05435502,49.73324405,48.86890066,49.08644328,50.3774471,50.53655494,50.44067012,49.22620904,48.8467151,49.16834633,49.31701056,48.27689602,47.57896938
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.969830036,3.965219975,3.932280064,3.964819908,3.886679888,3.931969881,4.202620029,4.057209969,4.00673008,4.2667799,4.314789772,4.00865984,2.386320114,2.480079889,2.330009937,,,,,,,,,,,,,,,,4.413000107,4.352759838,4.671760082,5.158480167,5.003660202,5.593090057,6.037310123,6.405240059,5.946469784,6.076660156,6.431419849,8.131059647,8.568610191,7.214970112,6.601290226,6.835649967,6.330220222,11.63510036,10.00629997,11.31599998,9.407429695,10.06630039,8.301389694,8.846699715,8.332489967,9.24382019,8.346839905,9.033220291,8.000980377,9.058329582,8.151800156,9.060379982,8.307319641,9.047470093,8.452610016,9.611660004,8.378510475,8.077170372,7.608570099,8.137550354,8.476639748,24.30739975,23.97520065,24.31399918,25.58919907,26.44589996,28.38310051,29.68700027,29.3166008,29.28249931,28.68330002,28.58690071,28.90040016,29.29500008,29.98220062,29.87919998,29.83099937,30.77440071,30.52860069,30.75740051,30.15600014,30.19420052,30.29969978,31.12520027,31.61829948,32.41419983,33.04669952,33.47570038,32.69910049,33.84280014,33.84379959,35.16419983,34.65019989,34.96080017,34.63970184,34.15729904,34.55960083,34.33229828,34.00790024,34.68159866,35.13990021,34.76259995,32.12540273,31.88549899,32.09729704,31.92771054,33.02338656,32.67589536,33.56904055,33.02938281,33.30599597,33.98259913,34.13463174,32.74609026,32.23390978,32.49619378
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04784709,13.50825329,13.60178652,15.20301445,16.7402545,17.326377,17.93218039,20.08392422,23.62167705,22.46207753,22.11956673,23.41475504,23.15983781,24.88518071,25.13434665,26.93865004,28.3946321,29.94427396,29.73992434,28.12861582,28.18141941,26.77270184,24.82425947,27.00154239,27.14795823,27.11444918,27.93694543
Tanzania,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76795417,12.62108864,14.38654339,13.01672146,13.45842613,14.94730417,12.80201095,11.50389723,11.62159059,11.59377126,11.96282033,12.88259889,13.58872292,14.58917475,15.03758063,14.23427346,16.38634627,16.16649576,15.11524321,15.06086396,15.51841211,15.57996892,15.03254676,14.37713518,13.98221485,14.82742136,15.2078837,15.2680282,15.22522637,14.88371658,14.85640504,15.20377816,15.34179151,16.07763633
Thailand,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.884860039,8.65721035,8.356639862,8.865599632,9.760379791,11.32330036,11.93190002,10.86270046,11.88879967,11.7730999,12.36089993,12.6576004,12.55060005,9.632029533,11.63780022,11.18229961,12.24499989,13.64599991,13.58049965,13.39519978,13.24870014,13.36149979,13.84659958,13.30510044,13.66539955,13.22379971,14.53450012,12.50940037,12.29710007,13.17790031,13.28129959,13.29959965,14.3210001,14.98419952,14.02760029,15.52659988,15.48270035,15.42109966,15.17029953,15.07890034,15.70909977,16.6935997,17.96910095,18.55349922,17.66270065,25.43090057,18.7343998,18.55999947,18.49889946,17.91970062,15.51799965,15.37580013,17.55400453,19.05567116,18.98981189,20.26406278,20.43741309,21.75280268,20.60557459,20.2190007,20.02735869,19.50786262,20.93915299,21.2075428,21.39081876,22.23206147,21.48715709,22.46428108,21.76867335,21.10048933,21.36216505,20.97999895,20.40867487,20.0215872,20.0469071,20.86163555,21.41603217
Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.71229253,15.20057643,11.0728767,10.37441146,6.327099401,7.818485836,9.729321429,9.123525117,9.615192101,9.515836488,10.14890114,8.455615938,10.13771517,8.141129598,10.31848036,11.17014978,11.58412098,12.7855602,11.86124242,11.80037997,11.66315507,13.426832,13.73082758,14.46273901,15.40280905,14.78673277,15.85506943,15.87817277,16.06358133,18.20525464,18.23047164,16.64545034,17.1336314,17.64661088,19.84722564,18.9856307
Trinidad and Tobago,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00656403,26.39992239,26.5553388,29.77178728,26.03414159,27.51851234,26.45957728,26.90363835,27.70082013,27.52563154,25.4225507,23.92284113,24.26204717,25.83946657,24.36353346,25.35857309,25.25569153,30.37324894,34.27535247,30.01802532,33.89959325,28.51537614,31.65698965,29.71273843,28.61118435,29.04646,28.65700799,26.76160122,21.38784732,20.48875259,24.31360593,27.2857786,23.27460495,22.99647249,29.22265552,31.22845392,27.21170765
Tunisia,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.37481633,22.25026256,23.44701749,23.07215033,22.05017222,21.49859309,20.82674065,21.33884543,20.95707769,20.82884509,21.11337537,21.57743782,20.82901958,20.92044349,20.450042,20.51802618,20.85285098,23.05108478,22.05066317,23.54212368,24.69404174,23.45060488,23.75005966,24.5719065,22.49588955,21.34428958,23.11738887,24.41933327,25.92895908,25.47544927,25.60647201,29.58328397,28.67243502,27.90760895
"Türkiye, Republic of",TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37590027,,20.1121006,,,,,18.74539948,,11.48079967,,,18.78440094,23.42110062,14.62889957,14.06840038,16.68659973,14.56410027,14.94379997,16.4817009,14.95479965,13.4932003,13.73789978,14.54669952,14.74470043,21.88759995,15.57859993,17.48880005,18.04199982,17.80109978,18.28190041,20.19799995,18.39290047,19.03230095,22.82760048,21.71120071,21.81030083,20.81360054,17.95120049,21.77260017,22.74099922,22.71150017,25.77569962,25.27829933,21.78829956,22.49769974,17.58699989,13.43830013,10.3416996,12.15212345,9.655834198,9.850194931,9.678842545,9.886098862,10.42188072,11.37772942,11.84959412,13.16927814,14.43568707,13.43454266,13.72791862,16.32247353,18.02910614,18.92808151,31.05421107,32.29842973,29.60863444,30.77811956,30.34209037,31.23995239,33.1884738,31.33830506,31.34901729,31.82415718,32.23134696,32.24977057,32.17323303,32.34260309,31.538291,31.91055789,32.07955064,30.55895559,30.78857477,30.14460781,29.41005863,27.55954396,25.67625634,27.30325241,28.06591796
Uganda,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03308494,13.24647048,13.47482643,14.60532305,15.21238959,14.69305943,15.48984387,15.93543193,14.30122419,13.05777653,12.41693889,10.95100139,10.14660123,10.7793381,11.1315992,10.73228342,10.11214866,10.82458998,12.29720195,12.54562991,12.45979263,13.16172573,13.45323591,13.68508199,14.20212833,14.03858699,14.39939115,14.69440139
Ukraine,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.56883904,33.80141897,35.4437144,34.39786254,30.80335665,32.27850178,33.64508742,36.04113019,37.98838818,37.20313049,41.91699843,43.22204119,41.69082375,43.97405289,42.35175933,43.37811971,42.93875881,44.66532685,43.32520246,40.31391485,41.88367271,38.32604206,39.31358482,39.79779006,39.4207624,39.6821555,36.51597468,49.79237496,54.06265222,54.0607164
United Arab Emirates,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8537347,32.90154114,28.60559579,28.34414351,29.72666676,28.52082063,29.27309892,26.83905884,25.58619759,32.44856842,26.43377907,20.09491784,22.40159967,24.1091011,31.73094066,35.77725562,34.78279089,39.58866104,28.87034322,30.86944219,34.68530757,36.37907083,36.87646899,33.17125455,20.05002248,28.75297059,27.08082546,29.52705722,29.89918266,28.04542999,29.89973942,32.54584485,28.479691,27.82535597
